r_cm,z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3,alpha
1.496343e+00,1.487201e-01,3.028084e+08,1.913591e+00,1.521657e+13,1.493216e-06,6.942305e+02
1.496343e+00,4.742405e-01,5.679314e+08,1.915809e+00,1.532880e+13,2.854609e-05,3.721737e+02
1.496343e+00,8.597004e-01,8.827909e+08,1.921570e+00,1.548694e+13,1.467116e-04,2.424475e+02
1.496343e+00,1.312518e+00,1.254726e+09,1.932710e+00,1.570738e+13,4.919081e-04,1.742437e+02
1.496343e+00,1.839522e+00,1.691633e+09,1.951692e+00,1.601055e+13,1.329837e-03,1.333100e+02
1.496343e+00,2.446252e+00,2.201897e+09,1.981700e+00,1.642087e+13,3.162815e-03,1.066542e+02
1.496343e+00,3.136121e+00,2.794257e+09,2.026687e+00,1.696562e+13,6.926109e-03,8.820735e+01
1.496343e+00,3.909510e+00,3.477437e+09,2.091338e+00,1.767243e+13,1.435250e-02,7.473253e+01
1.496343e+00,4.762930e+00,4.259307e+09,2.180891e+00,1.856473e+13,2.864515e-02,6.436166e+01
1.496343e+00,5.688405e+00,5.145191e+09,2.300745e+00,1.965465e+13,5.568582e-02,5.598659e+01
1.496343e+00,6.673277e+00,6.134919e+09,2.455754e+00,2.093377e+13,1.060946e-01,4.896511e+01
1.496343e+00,7.700577e+00,7.218478e+09,2.649101e+00,2.236358e+13,1.984788e-01,4.294936e+01
1.496343e+00,8.750000e+00,8.370764e+09,2.880763e+00,2.386975e+13,3.640701e-01,3.776620e+01
1.496343e+00,9.799423e+00,9.491891e+09,3.145884e+00,2.534619e+13,6.490158e-01,3.352262e+01
1.496343e+00,1.082672e+01,1.042249e+10,3.433847e+00,2.667425e+13,1.113127e+00,3.033010e+01
1.496343e+00,1.181160e+01,1.098134e+10,3.729019e+00,2.775331e+13,1.823473e+00,2.825599e+01
1.496343e+00,1.273707e+01,1.102306e+10,4.013484e+00,2.852880e+13,2.847615e+00,2.735497e+01
1.496343e+00,1.359049e+01,1.049524e+10,4.270821e+00,2.900325e+13,4.261557e+00,2.772314e+01
1.496343e+00,1.436388e+01,9.459307e+09,4.461263e+00,2.922673e+13,6.199867e+00,2.957676e+01
1.496343e+00,1.505375e+01,8.073233e+09,4.467383e+00,2.927728e+13,8.948916e+00,3.333638e+01
1.496343e+00,1.566048e+01,6.546186e+09,4.469357e+00,2.923933e+13,1.249212e+01,3.971189e+01
1.496343e+00,1.618748e+01,5.029395e+09,4.470318e+00,2.917049e+13,1.454819e+01,5.026464e+01
1.496343e+00,1.664030e+01,3.616814e+09,4.470618e+00,2.910407e+13,7.421364e+00,6.851368e+01
1.496343e+00,1.702576e+01,2.356835e+09,4.470640e+00,2.905541e+13,1.570314e+00,1.038721e+02
1.496343e+00,1.735128e+01,1.265865e+09,4.470627e+00,2.902838e+13,8.357880e-02,1.923488e+02
2.033118e+00,1.487201e-01,3.009574e+08,1.913000e+00,1.513048e+13,2.662044e-06,6.967598e+02
2.033118e+00,4.742405e-01,5.644707e+08,1.915228e+00,1.524211e+13,5.089227e-05,3.735214e+02
2.033118e+00,8.597004e-01,8.774364e+08,1.921016e+00,1.539945e+13,2.615719e-04,2.433172e+02
2.033118e+00,1.312518e+00,1.247174e+09,1.932209e+00,1.561883e+13,8.770964e-04,1.748598e+02
2.033118e+00,1.839522e+00,1.681578e+09,1.951285e+00,1.592063e+13,2.371491e-03,1.337714e+02
2.033118e+00,2.446252e+00,2.189068e+09,1.981449e+00,1.632920e+13,5.641407e-03,1.070124e+02
2.033118e+00,3.136121e+00,2.778474e+09,2.026687e+00,1.687182e+13,1.235760e-02,8.849173e+01
2.033118e+00,3.909510e+00,3.458713e+09,2.091738e+00,1.757617e+13,2.561853e-02,7.496014e+01
2.033118e+00,4.762930e+00,4.238011e+09,2.181922e+00,1.846586e+13,5.115847e-02,6.454223e+01
2.033118e+00,5.688405e+00,5.122305e+09,2.302766e+00,1.955338e+13,9.952026e-02,5.612497e+01
2.033118e+00,6.673277e+00,6.112425e+09,2.459309e+00,2.083086e+13,1.897622e-01,4.906273e+01
2.033118e+00,7.700577e+00,7.199869e+09,2.654986e+00,2.226045e+13,3.552966e-01,4.300506e+01
2.033118e+00,8.750000e+00,8.361669e+09,2.890074e+00,2.376835e+13,6.521518e-01,3.777650e+01
2.033118e+00,9.799423e+00,9.497585e+09,3.160003e+00,2.524836e+13,1.162339e+00,3.349201e+01
2.033118e+00,1.082672e+01,1.044704e+10,3.454333e+00,2.658083e+13,1.989626e+00,3.026366e+01
2.033118e+00,1.181160e+01,1.102453e+10,3.757381e+00,2.766334e+13,3.242255e+00,2.816060e+01
2.033118e+00,1.273707e+01,1.107835e+10,4.050892e+00,2.843944e+13,5.007236e+00,2.724018e+01
2.033118e+00,1.359049e+01,1.055044e+10,4.317812e+00,2.891053e+13,7.338906e+00,2.760309e+01
2.033118e+00,1.436388e+01,9.499487e+09,4.464691e+00,2.912660e+13,1.037334e+01,2.947770e+01
2.033118e+00,1.505375e+01,8.101708e+09,4.468630e+00,2.917150e+13,1.473805e+01,3.324655e+01
2.033118e+00,1.566048e+01,6.566626e+09,4.470411e+00,2.912970e+13,2.299496e+01,3.961784e+01
2.033118e+00,1.618748e+01,5.043960e+09,4.471355e+00,2.905830e+13,4.554274e+01,5.015311e+01
2.033118e+00,1.664030e+01,3.626822e+09,4.471555e+00,2.899028e+13,2.499395e+01,6.836612e+01
2.033118e+00,1.702576e+01,2.363190e+09,4.471444e+00,2.894074e+13,3.598772e+00,1.036513e+02
2.033118e+00,1.735128e+01,1.269239e+09,4.471379e+00,2.891337e+13,1.704705e-01,1.919420e+02
2.625886e+00,1.487201e-01,2.982094e+08,1.912087e+00,1.500385e+13,4.264471e-06,7.005693e+02
2.625886e+00,4.742405e-01,5.593325e+08,1.914330e+00,1.511459e+13,8.153053e-05,3.755512e+02
2.625886e+00,8.597004e-01,8.694845e+08,1.920155e+00,1.527074e+13,4.190740e-04,2.446275e+02
2.625886e+00,1.312518e+00,1.235954e+09,1.931421e+00,1.548853e+13,1.405403e-03,1.757881e+02
2.625886e+00,1.839522e+00,1.666629e+09,1.950625e+00,1.578828e+13,3.800683e-03,1.344669e+02
2.625886e+00,2.446252e+00,2.169973e+09,1.981003e+00,1.619424e+13,9.043986e-03,1.075529e+02
2.625886e+00,3.136121e+00,2.754941e+09,2.026587e+00,1.673365e+13,1.981977e-02,8.892143e+01
2.625886e+00,3.909510e+00,3.430717e+09,2.092190e+00,1.743427e+13,4.111351e-02,7.530498e+01
2.625886e+00,4.762930e+00,4.206026e+09,2.183249e+00,1.831994e+13,8.216773e-02,6.481707e+01
2.625886e+00,5.688405e+00,5.087675e+09,2.305470e+00,1.940365e+13,1.600078e-01,5.633738e+01
2.625886e+00,6.673277e+00,6.077909e+09,2.464155e+00,2.067836e+13,3.054684e-01,4.921517e+01
2.625886e+00,7.700577e+00,7.170386e+09,2.663095e+00,2.210718e+13,5.726751e-01,4.309625e+01
