E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
80,0.67,1.957877e+00,5.590226e-24,2.556111e-15,6.533081e-14,1.928981e+00,1.588285e-23,2.662949e-15,6.478371e-19,0.0148,1.8412,0.0418,1.0000
90,0,1.457085e+00,5.056950e-27,4.595062e-15,7.105874e-14,1.451748e+00,5.473758e-24,4.649735e-15,2.037329e-19,0.0037,nan,0.0119,1.0000
90,0.1,1.483052e+00,1.811052e-26,4.420961e-15,7.057799e-14,1.470491e+00,0.000000e+00,4.466140e-15,2.105858e-19,0.0085,nan,0.0102,1.0000
90,0.2,1.506181e+00,5.907946e-26,4.239121e-15,7.007814e-14,1.499036e+00,0.000000e+00,4.232624e-15,2.246070e-19,0.0047,nan,0.0015,1.0000
90,0.3,1.528588e+00,1.459566e-25,4.031649e-15,6.950448e-14,1.544379e+00,0.000000e+00,3.943611e-15,2.515762e-19,0.0103,1.0000,0.0218,1.0000
90,0.5,1.752358e+00,1.630857e-24,3.138767e-15,6.679921e-14,1.747893e+00,0.000000e+00,3.153975e-15,4.644069e-19,0.0025,1.0000,0.0048,1.0000
90,0.67,2.161033e+00,7.617636e-23,2.198508e-15,6.453111e-14,2.125323e+00,1.837192e-22,2.297639e-15,1.740715e-18,0.0165,1.4118,0.0451,1.0000
100,0,1.521831e+00,9.305126e-26,4.278697e-15,7.010557e-14,1.498858e+00,0.000000e+00,4.305264e-15,3.601650e-19,0.0151,nan,0.0062,1.0000
100,0.1,1.541379e+00,2.517094e-25,4.124618e-15,6.967634e-14,1.519760e+00,0.000000e+00,4.134530e-15,3.582098e-19,0.0140,1.0000,0.0024,1.0000
100,0.2,1.560989e+00,5.595853e-25,3.948040e-15,6.918171e-14,1.555884e+00,0.000000e+00,3.908022e-15,3.730034e-19,0.0033,1.0000,0.0101,1.0000
